Project_ID,Start_Date,End_Date,Duration_Days,Team_Size,Budget_USD,Complexity,Client_Satisfaction,Project_Success
P0000,2021-04-13,2021-06-14,62,29,484686,Low,7,1
P0001,2022-03-12,2022-10-06,208,49,441413,Low,7,0
P0002,2021-09-28,2022-02-05,130,46,313988,Low,6,1
P0003,2021-04-17,2022-02-08,297,29,336898,Medium,6,1
P0004,2021-03-13,2022-02-28,352,22,437373,High,9,1
P0005,2022-12-02,2023-03-06,94,44,349273,Low,6,0
P0006,2021-01-21,2021-08-06,197,12,312186,Medium,2,1
P0007,2022-09-07,2023-09-01,359,43,71665,Medium,2,1
P0008,2021-05-02,2021-07-13,72,44,256584,Medium,5,1
P0009,2022-04-12,2022-06-24,73,18,126953,Medium,4,0
P0010,2021-08-03,2022-06-13,314,36,486072,Low,2,1
P0011,2021-11-27,2022-01-07,41,42,168448,Medium,3,0
P0012,2022-04-04,2022-08-06,124,37,196626,Medium,7,1
P0013,2021-03-29,2022-02-23,331,27,155271,Low,8,0
P0014,2022-01-08,2022-10-17,282,19,128533,Medium,6,1
P0015,2021-04-10,2022-01-06,271,37,484628,Low,5,1
P0016,2022-10-26,2022-12-29,64,29,454164,Medium,1,1
P0017,2021-05-11,2022-01-10,244,21,83781,Medium,8,0
P0018,2022-10-24,2023-02-20,119,37,475966,Medium,3,0
P0019,2021-11-05,2022-08-25,293,6,76262,Medium,6,1
P0020,2021-12-10,2022-04-11,122,18,318744,Low,3,1
P0021,2022-05-07,2022-09-03,119,44,86898,Medium,7,1
P0022,2022-02-18,2022-07-12,144,44,465699,Low,7,1
P0023,2022-01-21,2022-06-04,134,43,159369,Low,9,0
P0024,2021-07-11,2022-02-21,225,10,40448,High,5,0
P0025,2021-10-04,2022-09-12,343,10,298316,Low,8,1
P0026,2021-06-10,2021-10-31,143,7,446090,Medium,10,0
P0027,2022-04-05,2022-07-18,104,11,17657,Medium,10,0
P0028,2021-11-10,2022-07-14,246,12,487602,Low,8,1
P0029,2021-01-22,2021-11-24,306,46,266689,Low,1,1
P0030,2021-09-10,2022-06-15,278,19,428641,Low,5,0
P0031,2022-07-15,2023-01-24,193,33,429901,High,3,1
P0032,2022-04-20,2022-11-27,221,37,384999,Medium,1,1
P0033,2021-02-28,2021-11-11,256,34,427794,Low,4,1
P0034,2022-05-26,2022-12-18,206,43,169903,Medium,8,1
P0035,2022-11-13,2023-03-21,128,31,17906,Medium,3,0
P0036,2022-04-21,2022-06-25,65,40,333557,Low,10,1
P0037,2022-12-01,2023-04-05,125,33,64028,Medium,2,1
P0038,2021-07-09,2022-01-06,181,42,279431,Medium,9,1
P0039,2022-11-18,2023-05-17,180,37,305804,High,10,1
P0040,2022-07-17,2023-02-21,219,41,478974,Low,5,1
P0041,2022-07-21,2023-03-31,253,31,332648,Low,7,0
P0042,2021-09-01,2021-11-06,66,37,200792,Low,2,1
P0043,2022-05-20,2023-03-13,297,8,112979,Medium,9,1
P0044,2021-05-11,2021-12-09,212,26,44701,Low,9,0
P0045,2022-04-30,2022-06-11,42,6,93300,Medium,4,0
P0046,2022-10-09,2023-08-13,308,14,251249,Medium,4,1
P0047,2021-01-21,2021-09-24,246,9,158746,Medium,6,0
P0048,2021-06-16,2022-04-27,315,14,93560,Medium,10,0
P0049,2021-10-01,2022-07-30,302,37,252615,High,10,1
P0050,2022-01-23,2022-04-24,91,42,427090,Medium,10,1
P0051,2022-08-24,2022-12-15,113,17,53642,Medium,6,0
P0052,2021-11-12,2022-07-16,246,35,337304,Low,1,0
P0053,2021-01-14,2021-08-18,216,40,289746,High,9,1
P0054,2021-08-30,2021-10-17,48,49,375464,Low,2,0
P0055,2021-12-12,2022-07-06,206,28,98801,Low,5,1
P0056,2022-07-19,2022-11-25,129,19,298075,Low,9,0
P0057,2021-12-06,2022-08-25,262,33,104377,Medium,4,1
P0058,2021-04-02,2021-07-16,105,12,301336,Low,3,1
P0059,2022-01-02,2022-10-23,294,9,318686,Low,7,0
P0060,2022-03-31,2023-02-07,313,33,399159,Low,6,1
P0061,2022-03-04,2022-10-25,235,8,314664,Low,8,1
P0062,2022-05-24,2023-01-31,252,16,336916,Medium,3,0
P0063,2021-02-04,2021-04-26,81,49,461978,Medium,5,1
P0064,2021-07-25,2022-01-14,173,6,322250,Low,10,1
P0065,2021-03-22,2021-06-28,98,31,91121,Medium,4,0
P0066,2022-07-16,2022-11-21,128,35,35559,Medium,4,0
P0067,2022-01-23,2022-03-18,54,40,377739,Low,4,1
P0068,2021-01-02,2021-03-25,82,40,43742,Low,10,1
P0069,2022-01-25,2022-07-24,180,30,341813,High,8,1
P0070,2022-07-20,2023-01-09,173,47,483415,Medium,6,1
P0071,2021-04-16,2021-07-11,86,31,162826,Low,3,0
P0072,2022-04-22,2022-06-29,68,9,145044,Medium,10,1
P0073,2022-12-04,2023-04-21,138,24,342975,Low,5,0
P0074,2022-02-06,2022-09-04,210,15,122217,Medium,6,1
P0075,2022-12-31,2023-03-12,71,14,51873,Low,5,0
P0076,2022-07-10,2023-02-10,215,44,497877,Low,6,1
P0077,2021-06-11,2022-02-18,252,42,378676,Low,8,1
P0078,2021-07-21,2021-12-19,151,10,398411,High,7,0
P0079,2021-09-27,2022-03-08,162,12,413119,Medium,5,0
P0080,2021-09-28,2022-04-08,192,27,144092,Low,10,1
P0081,2022-04-01,2022-12-01,244,30,313899,Low,6,1
P0082,2022-04-07,2022-12-13,250,47,358100,Medium,4,0
P0083,2022-12-28,2023-09-18,264,16,96988,Low,9,1
P0084,2021-09-09,2022-09-04,360,30,55648,Low,4,1
P0085,2022-12-03,2023-05-27,175,17,135991,High,1,0
P0086,2021-10-23,2022-07-18,268,44,412732,Low,7,1
P0087,2022-12-26,2023-04-10,105,22,387149,Medium,7,0
P0088,2022-12-21,2023-01-28,38,29,12396,High,4,0
P0089,2021-12-04,2022-03-17,103,37,94082,Low,3,1
P0090,2021-02-22,2021-12-01,282,44,422345,Low,8,1
P0091,2021-08-05,2022-04-21,259,47,138322,Low,5,1
P0092,2021-07-07,2021-08-12,36,16,142663,High,10,0
P0093,2022-01-15,2022-08-06,203,48,21303,High,7,1
P0094,2022-05-08,2022-10-25,170,40,171633,Medium,4,0
P0095,2021-02-10,2021-08-26,197,8,343863,Low,4,0
P0096,2021-06-06,2021-12-22,199,9,259690,Medium,8,1
P0097,2021-01-15,2021-11-23,312,41,495324,High,8,1
P0098,2021-03-06,2021-08-04,151,12,269820,Medium,2,1
P0099,2022-06-05,2023-01-14,223,46,109616,High,2,0
P0100,2021-12-10,2022-01-13,34,32,396309,High,3,1
P0101,2021-05-09,2021-07-06,58,35,96231,Medium,3,0
P0102,2022-10-10,2023-04-22,194,13,279458,Medium,1,0
P0103,2022-04-17,2022-09-29,165,33,29623,Low,3,1
P0104,2021-03-04,2022-02-17,350,18,208747,Low,6,1
P0105,2021-05-19,2021-11-09,174,44,468298,Medium,8,0
P0106,2022-05-14,2023-05-05,356,45,486840,Low,10,1
P0107,2022-08-16,2023-04-19,246,26,115228,High,6,1
P0108,2022-01-27,2022-12-23,330,15,436346,High,5,0
P0109,2022-11-06,2023-04-16,161,27,192828,Medium,4,1
P0110,2022-02-23,2023-01-10,321,5,369768,Low,3,1
P0111,2021-10-16,2022-01-23,99,41,167364,Low,4,1
P0112,2022-01-14,2022-10-22,281,25,383929,Low,7,0
P0113,2022-05-05,2023-03-05,304,30,358350,Medium,1,0
P0114,2021-08-19,2022-03-18,211,40,79274,Medium,7,1
P0115,2021-02-10,2021-08-25,196,27,143541,High,1,0
P0116,2021-01-28,2021-05-28,120,5,63947,Medium,2,1
P0117,2021-05-15,2022-01-01,231,44,163606,High,4,0
P0118,2021-07-20,2021-09-06,48,19,204692,High,1,0
P0119,2021-02-02,2021-04-11,68,25,58874,Low,9,1
P0120,2021-02-17,2021-07-22,155,13,59708,High,6,0
P0121,2022-05-18,2022-12-06,202,13,84553,Low,1,0
P0122,2022-02-11,2022-07-31,170,14,78344,Low,1,0
P0123,2022-07-28,2023-04-25,271,30,321282,Medium,6,0
P0124,2022-12-29,2023-09-04,249,45,195374,Low,4,0
P0125,2021-04-09,2021-09-11,155,39,57638,Medium,4,1
P0126,2022-11-15,2023-02-10,87,29,88249,Medium,6,1
P0127,2022-12-27,2023-06-22,177,30,378009,Medium,7,1
P0128,2022-07-01,2023-06-12,346,15,12719,Low,9,1
P0129,2022-09-05,2022-10-05,30,42,163962,Medium,10,0
P0130,2022-04-07,2022-11-12,219,6,480452,Medium,5,1
P0131,2022-10-05,2023-05-13,220,11,439725,Medium,9,0
P0132,2021-01-05,2021-12-12,341,22,52534,Medium,4,0
P0133,2021-08-06,2021-12-30,146,31,102241,Low,10,1
P0134,2022-05-18,2022-10-28,163,38,422003,Medium,2,1
P0135,2022-02-02,2022-04-30,87,31,136209,Low,3,1
P0136,2022-01-28,2022-04-11,73,21,452061,Medium,1,0
P0137,2021-07-26,2022-02-13,202,47,199004,Medium,6,1
P0138,2021-01-15,2021-07-23,189,48,102124,Medium,6,1
