customer_id,tenure_months,support_tickets,plan_tier,churned
1,57,58.08,C,0
2,50,422.38,A,1
3,43,405.61,A,1
4,52,206.71,B,0
5,14,228.34,B,0
6,13,212.19,C,0
7,47,61.46,C,0
8,14,434.63,A,1
9,35,107.5,C,0
10,30,457.03,B,1
11,21,350.42,B,1
12,45,237.37,C,0
13,31,422.93,A,1
14,42,60.55,B,0
15,7,98.67,A,0
16,56,343.69,B,1
17,47,172.95,D,0
18,4,440.35,B,1
19,41,266.34,C,0
20,29,95.0,D,0
21,21,281.63,C,0
22,20,257.3,B,0
23,24,370.51,B,1
24,36,76.48,A,0
25,1,184.23,A,0
26,3,199.91,A,0
27,25,425.24,C,1
28,21,338.53,A,1
29,41,459.14,B,1
30,5,61.54,A,0
31,29,108.9,C,0
32,58,431.17,D,1
33,58,38.23,B,0
34,35,103.19,D,0
35,15,244.15,C,0
36,30,345.66,A,1
37,46,145.65,B,0
38,58,475.12,C,1
39,39,320.58,B,1
40,22,125.67,B,0
41,34,344.73,C,1
42,26,181.28,B,0
43,32,293.0,D,1
44,31,315.19,B,1
45,1,215.38,D,0
46,4,444.41,B,1
47,42,174.77,A,0
48,2,388.32,B,1
49,34,376.27,A,1
50,19,439.0,A,1
51,48,13.71,B,0
52,35,131.7,D,0
53,52,192.07,A,0
54,35,397.15,A,1
55,41,455.04,D,1
56,11,50.44,D,0
57,38,167.26,A,0
58,19,314.93,B,1
59,5,243.47,C,0
60,46,460.09,D,1
61,21,119.51,A,0
62,20,67.82,D,0
63,5,193.08,B,0
64,28,195.59,C,0
65,47,83.23,D,0
66,20,200.44,B,0
67,2,211.43,A,0
68,50,115.97,D,0
69,26,456.37,A,1
70,19,368.95,D,1
71,36,257.2,C,0
72,36,101.75,B,0
73,25,109.77,B,0
74,17,36.7,D,0
75,15,351.91,D,1
76,46,229.37,D,0
77,40,363.43,D,1
78,36,464.74,B,1
79,43,94.74,C,0
80,4,499.27,A,1
81,47,121.81,D,0
82,44,123.17,B,0
83,48,407.1,A,1
84,51,59.91,D,0
85,35,398.8,A,1
86,44,72.77,B,0
87,22,101.68,B,0
88,11,262.79,C,0
89,50,372.19,A,1
90,30,461.84,C,1
91,7,236.12,C,0
92,58,296.78,C,1
93,11,485.36,A,1
94,50,41.26,C,0
95,19,492.67,C,1
96,49,95.81,C,0
97,57,212.0,B,0
98,3,213.48,B,0
99,30,190.89,C,0
100,9,470.11,C,1
101,1,416.73,C,1
102,39,72.95,D,0
103,21,111.28,A,0
104,17,31.42,B,0
105,32,193.18,A,0
106,11,369.61,A,1
107,38,102.57,D,0
108,38,314.17,B,1
109,50,257.08,B,0
110,57,472.75,A,1
111,1,470.82,D,1
112,18,15.16,D,0
113,50,133.15,C,0
114,52,393.84,C,1
115,56,385.18,B,1
116,44,479.47,C,1
117,35,77.64,B,0
118,41,224.95,D,0
119,18,62.33,C,0
120,7,452.52,B,1
121,32,39.51,D,0
122,44,390.2,D,1
123,42,340.75,C,1
124,29,359.06,C,1
125,54,361.59,B,1
126,22,249.57,D,0
127,17,211.21,B,0
128,33,150.79,B,0
129,49,220.23,D,0
130,59,254.57,D,0
131,50,92.19,A,0
132,32,180.23,D,0
133,48,57.13,C,0
134,31,238.23,D,0
135,30,95.63,C,0
136,12,56.35,C,0
137,26,497.35,B,1
138,5,91.39,D,0
139,20,177.91,C,0
140,36,214.05,A,0
141,11,472.56,D,1
142,22,343.95,D,1
143,24,112.9,D,0
144,23,29.3,A,0
145,52,253.52,C,0
146,36,418.56,A,1
147,15,250.39,B,0
148,34,319.13,B,1
149,33,478.76,C,1
150,1,300.81,B,0
151,37,485.36,C,1
152,53,374.56,B,1
153,48,273.85,A,1
154,43,227.69,C,0
155,29,477.9,C,1
156,1,281.79,B,0
157,11,462.63,A,1
158,21,120.35,A,0
159,46,105.37,A,0
160,21,305.44,D,1
161,21,137.33,B,0
162,44,381.87,D,1
163,35,382.53,B,1
164,44,269.55,A,0
165,38,451.01,C,1
166,37,466.82,C,1
167,28,22.99,B,0
168,25,468.89,C,1
169,58,359.35,C,1
170,53,262.04,A,1
171,46,319.47,A,1
172,37,438.92,D,1
173,29,131.04,B,0
174,11,12.88,B,0
175,27,278.18,B,0
176,41,301.97,B,1
177,28,376.09,C,1
178,49,461.47,A,1
179,13,119.03,B,0
180,33,106.04,B,0
181,35,299.59,B,1
182,24,32.31,C,0
183,9,88.42,B,0
184,37,64.27,A,0
185,20,55.38,B,0
186,29,240.92,C,0
187,42,404.87,D,1
188,18,366.75,C,1
189,31,387.24,A,1
190,42,216.18,D,0
191,47,116.94,B,0
192,44,273.98,B,1
193,11,186.19,D,0
194,37,216.08,A,0
195,48,183.47,D,0
196,43,236.78,A,0
197,12,118.52,D,0
198,30,451.66,B,1
199,49,11.49,A,0
200,57,46.66,A,0
201,17,426.12,B,1
202,46,487.16,A,1
203,58,473.54,D,1
204,43,72.59,B,0
205,53,416.82,A,1
206,32,77.42,A,0
207,31,361.6,D,1
208,47,484.2,A,1
209,52,382.2,B,1
210,56,492.96,C,1
211,50,391.82,A,1
212,8,467.61,C,1
213,34,261.75,A,0
214,54,370.89,D,1
215,28,216.52,A,0
216,16,453.85,A,1
217,36,391.66,B,1
218,11,324.6,D,1
219,53,450.82,A,1
220,49,490.78,A,1
221,38,36.03,A,0
222,7,484.24,A,1
223,59,317.65,A,1
224,17,329.59,A,1
225,14,461.5,A,1
226,2,13.78,A,0
227,31,119.99,B,0
228,45,29.65,D,0
229,56,175.6,C,0
230,13,325.25,A,1
231,12,248.71,D,0
232,56,167.73,D,0
233,51,437.09,C,1
234,28,254.07,D,0
235,56,307.8,C,1
236,47,98.2,B,0
237,46,159.07,B,0
238,3,129.18,B,0
239,34,352.01,D,1
240,8,231.6,C,0
241,39,461.79,A,1
242,12,497.46,D,1
243,58,418.47,B,1
244,3,172.05,C,0
245,30,321.29,D,1
246,49,395.57,A,1
247,20,67.24,D,0
248,12,288.64,D,0
249,35,428.64,A,1
250,4,261.29,C,0
251,48,83.72,A,0
252,13,93.61,A,0
253,47,368.69,B,1
254,21,432.07,B,1
255,3,356.0,D,1
256,36,384.36,A,1
257,48,374.79,D,1
258,11,440.79,B,1
259,19,432.53,D,1
260,16,233.54,D,0
261,6,234.88,B,0
262,11,411.34,A,1
263,48,99.02,B,0
264,17,485.94,B,1
265,27,370.57,D,1
266,16,397.95,C,1
267,39,409.85,D,1
268,27,406.0,C,1
269,48,287.69,D,1
270,35,89.73,A,0
271,34,485.63,C,1
272,3,291.61,D,0
273,59,306.49,B,1
274,13,196.96,B,0
275,9,389.21,B,1
276,4,436.04,B,1
277,42,361.5,A,1
278,28,304.24,D,1
279,17,490.01,B,1
280,35,446.45,A,1
281,57,187.03,D,0
282,40,460.14,C,1
283,29,52.17,A,0
284,27,94.06,C,0
285,26,17.48,D,0
286,14,44.39,C,0
287,31,36.83,C,0
288,38,475.31,D,1
289,13,191.23,D,0
290,53,144.24,B,0
291,32,135.52,C,0
292,30,438.08,C,1
293,32,450.4,B,1
294,53,308.49,C,1
295,12,331.69,C,1
296,39,395.46,B,1
297,15,155.41,C,0
298,37,433.37,D,1
299,52,265.27,D,1
300,47,349.73,A,1
301,40,250.66,C,0
302,45,98.26,B,0
303,14,392.44,C,1
304,48,242.93,D,0
305,45,86.59,A,0
306,19,380.74,D,1
307,8,276.43,C,0
308,12,213.24,A,0
309,20,250.81,B,0
310,8,139.6,D,0
311,37,29.86,B,0
312,44,410.48,D,1
313,4,38.04,B,0
314,17,89.9,D,0
315,19,254.08,B,0
316,33,217.54,C,0
317,4,257.62,C,0
318,35,434.31,D,1
319,31,487.95,C,1
320,43,217.67,A,0
321,7,488.98,A,1
322,14,62.35,A,0
323,2,33.82,B,0
324,53,361.41,A,1
325,9,34.28,D,0
326,44,97.53,B,0
327,27,128.99,C,0
328,21,458.96,D,1
329,11,162.88,A,0
330,31,308.5,A,1
331,45,104.49,C,0
332,39,111.23,B,0
333,31,272.44,C,0
334,48,440.24,A,1
335,39,394.81,C,1
336,26,277.55,C,0
337,18,367.12,C,1
338,25,374.49,B,1
339,48,257.32,D,0
340,21,160.35,C,0
341,6,164.36,D,0
342,35,474.1,C,1
343,28,199.77,C,0
344,59,256.78,C,1
345,43,44.85,A,0
346,12,384.14,B,1
347,36,384.43,C,1
348,51,379.91,C,1
349,49,271.2,A,1
350,51,480.0,A,1
351,35,310.88,A,1
352,36,124.11,D,0
353,3,318.27,B,1
354,47,229.44,B,0
355,36,115.79,D,0
356,7,92.01,D,0
357,46,14.3,B,0
358,4,271.9,A,0
359,25,152.06,D,0
360,15,37.48,C,0
361,51,43.47,B,0
362,34,456.52,C,1
363,34,391.92,B,1
364,40,246.24,A,0
365,10,486.98,A,1
366,11,296.67,B,0
367,15,329.06,A,1
368,33,152.97,B,0
369,37,10.09,C,0
370,39,305.97,B,1
371,3,388.93,D,1
372,4,407.17,C,1
373,13,382.09,D,1
374,36,101.77,A,0
375,29,256.5,C,0
376,7,58.95,A,0
377,46,454.81,C,1
378,6,88.09,A,0
379,17,136.96,A,0
380,45,414.14,A,1
381,27,105.6,C,0
382,54,453.34,A,1
383,45,367.89,B,1
384,13,391.49,B,1
385,5,225.49,B,0
386,39,421.76,C,1
387,39,450.75,A,1
388,58,146.62,D,0
389,25,430.01,B,1
390,7,58.79,C,0
391,52,30.78,C,0
392,15,186.59,C,0
393,16,141.3,D,0
394,25,474.15,D,1
395,58,471.98,A,1
396,2,301.01,A,0
397,26,363.95,D,1
398,30,182.45,B,0
399,2,288.3,B,0
400,24,17.77,C,0
401,16,144.9,B,0
402,51,146.44,B,0
403,3,419.12,B,1
404,25,121.1,A,0
405,58,149.42,B,0
406,7,148.63,D,0
407,18,17.36,D,0
408,58,148.95,B,0
409,23,108.78,C,0
410,11,112.79,D,0
411,57,16.37,C,0
412,48,327.18,C,1
413,33,433.79,A,1
414,59,394.22,B,1
415,14,443.22,C,1
416,20,229.15,A,0
417,55,294.59,D,1
418,30,368.27,A,1
419,50,433.31,B,1
420,17,183.58,C,0
421,9,66.83,B,0
422,2,18.71,D,0
423,44,381.25,D,1
424,24,76.16,A,0
425,26,60.99,C,0
426,5,354.72,B,1
427,44,363.1,C,1
428,35,103.44,D,0
429,46,74.03,C,0
430,27,270.41,C,0
431,54,460.9,D,1
432,32,307.45,D,1
433,32,498.14,D,1
434,35,106.3,B,0
435,33,134.89,D,0
436,47,242.18,D,0
437,11,68.95,D,0
438,58,462.16,A,1
439,20,392.77,B,1
440,14,203.22,C,0
441,57,286.75,C,1
442,28,41.7,C,0
443,10,487.03,D,1
444,56,85.52,C,0
445,27,56.64,C,0
446,2,240.57,A,0
447,39,394.76,D,1
448,42,410.72,C,1
449,41,99.14,A,0
450,7,164.13,B,0
451,55,120.87,A,0
452,48,266.99,D,1
453,26,438.55,A,1
454,36,42.91,A,0
455,32,325.03,B,1
456,55,297.45,B,1
457,54,188.87,D,0
458,14,160.38,B,0
459,2,395.81,B,1
460,41,23.77,D,0
461,8,112.54,D,0
462,51,446.52,A,1
463,15,124.27,D,0
464,1,252.08,C,0
465,24,289.28,B,0
466,8,479.65,D,1
467,5,201.81,C,0
468,31,28.75,D,0
469,14,49.42,A,0
470,27,188.93,A,0
471,13,12.37,C,0
472,43,344.56,A,1
473,56,390.07,C,1
474,40,68.55,A,0
475,44,227.51,B,0
476,11,290.71,C,0
477,57,36.69,B,0
478,43,457.04,B,1
479,57,299.83,C,1
480,44,98.64,C,0
481,39,73.37,A,0
482,47,420.31,C,1
483,30,300.14,A,1
484,57,123.78,D,0
485,24,263.36,C,0
486,38,157.63,B,0
487,51,207.99,D,0
488,26,196.36,D,0
489,52,421.44,A,1
490,22,278.1,B,0
491,10,383.68,D,1
492,42,42.48,D,0
493,32,432.7,B,1
494,14,494.4,D,1
495,7,341.28,D,1
496,11,45.24,B,0
497,8,189.66,D,0
498,33,100.5,C,0
499,58,142.89,D,0
500,33,163.23,B,0
501,47,325.37,C,1
502,37,449.43,B,1
503,52,419.52,B,1
504,49,255.07,A,0
505,38,333.44,D,1
506,6,154.44,C,0
507,58,163.74,D,0
508,10,198.67,C,0
509,37,74.24,C,0
510,22,484.97,D,1
511,9,388.79,B,1
512,7,133.99,C,0
513,34,396.93,B,1
514,2,109.26,C,0
515,50,82.37,A,0
516,54,150.83,B,0
517,37,80.79,B,0
518,48,58.58,A,0
519,19,122.12,D,0
520,59,296.35,C,1
521,28,472.93,B,1
522,35,148.81,D,0
523,10,237.36,C,0
524,38,55.68,C,0
525,42,142.28,B,0
526,44,376.62,C,1
527,58,433.09,C,1
528,45,327.1,A,1
529,27,37.85,A,0
530,57,310.62,C,1
531,7,50.28,A,0
532,46,451.14,C,1
533,2,15.94,A,0
534,17,17.89,D,0
535,10,337.81,B,1
536,14,377.68,C,1
537,51,320.98,C,1
538,29,142.96,B,0
539,6,301.03,B,0
540,54,77.17,D,0
541,46,136.81,A,0
542,7,360.65,B,1
543,10,265.57,C,0
544,3,47.22,C,0
545,44,445.13,A,1
546,31,279.21,A,0
547,53,225.83,A,0
548,3,126.75,D,0
549,13,193.02,A,0
550,31,283.95,A,1
551,57,133.0,B,0
552,53,85.18,A,0
553,11,245.74,D,0
554,15,399.38,B,1
555,22,331.33,A,1
556,25,271.38,D,0
557,20,362.46,A,1
558,1,402.97,A,1
559,18,178.34,C,0
560,33,224.44,D,0
561,59,24.85,A,0
562,17,161.39,D,0
563,19,178.86,D,0
564,4,195.05,C,0
565,53,49.06,A,0
566,29,367.56,A,1
567,10,250.42,B,0
568,15,334.38,B,1
569,20,355.63,B,1
570,48,212.14,A,0
571,37,181.36,C,0
572,18,85.5,A,0
573,43,323.66,D,1
574,44,66.08,C,0
575,53,278.68,D,1
576,49,482.01,C,1
577,47,476.72,A,1
578,26,255.88,A,0
579,40,182.1,A,0
580,2,12.73,A,0
581,59,376.15,A,1
582,33,329.05,A,1
583,37,60.55,D,0
584,30,332.52,D,1
585,57,310.0,D,1
586,48,356.93,B,1
587,39,169.71,C,0
588,21,93.79,A,0
589,36,218.49,D,0
590,9,359.17,D,1
591,36,489.45,D,1
592,5,293.51,D,0
593,51,98.91,D,0
594,55,184.99,D,0
595,9,362.45,B,1
596,57,200.36,A,0
597,58,413.29,D,1
598,37,396.66,B,1
599,12,200.53,A,0
600,30,319.69,A,1
601,21,224.3,B,0
602,57,406.36,C,1
603,33,185.92,D,0
604,52,153.51,A,0
605,8,440.16,D,1
606,57,138.55,D,0
607,14,491.38,B,1
608,7,277.04,A,0
609,41,403.44,A,1
610,46,233.95,A,0
611,37,139.39,D,0
612,28,439.17,C,1
613,23,40.99,D,0
614,15,350.42,D,1
615,27,63.58,D,0
616,8,210.93,B,0
617,1,386.23,D,1
618,17,173.08,B,0
619,46,429.97,B,1
620,38,235.58,A,0
621,6,313.01,C,1
622,47,306.27,C,1
623,54,211.35,C,0
624,20,315.23,A,1
625,9,129.52,A,0
626,36,258.65,C,0
627,11,54.29,D,0
628,53,449.09,D,1
629,7,431.61,D,1
630,3,319.59,A,1
631,51,110.2,A,0
632,53,55.77,D,0
633,23,465.63,D,1
634,47,272.98,D,1
635,22,124.7,A,0
636,39,331.44,C,1
637,44,180.43,C,0
638,16,60.89,C,0
639,43,227.96,A,0
640,1,424.19,C,1
641,29,200.93,B,0
642,53,13.12,D,0
643,5,312.1,A,1
644,51,405.54,A,1
645,39,422.67,A,1
646,59,394.11,B,1
647,19,90.02,A,0
648,57,58.06,D,0
649,6,245.5,B,0
650,42,31.8,B,0
651,1,78.95,D,0
652,18,74.77,A,0
653,41,121.27,B,0
654,2,66.63,B,0
655,48,67.56,B,0
656,38,52.23,D,0
657,21,499.42,A,1
658,16,22.81,C,0
659,36,203.82,A,0
660,1,344.81,D,1
661,27,290.41,C,1
662,42,224.19,B,0
663,40,423.83,C,1
664,29,243.76,C,0
665,51,404.28,C,1
666,41,330.41,B,1
667,40,131.67,C,0
668,32,277.03,C,0
669,11,421.7,D,1
670,41,362.57,D,1
671,45,245.22,C,0
672,34,81.25,D,0
673,23,458.18,B,1
674,31,367.11,C,1
675,18,237.53,C,0
676,45,464.26,B,1
677,36,259.52,C,0
678,23,98.33,D,0
679,50,473.8,C,1
680,30,326.24,C,1
681,42,146.0,D,0
682,33,387.1,D,1
683,41,437.64,D,1
684,9,376.01,D,1
685,39,456.37,A,1
686,9,50.4,C,0
687,53,179.53,A,0
688,5,77.13,D,0
689,19,327.99,C,1
690,30,468.4,D,1
691,51,180.38,B,0
692,12,174.84,A,0
693,25,302.83,D,1
694,6,280.3,D,0
695,42,462.89,C,1
696,30,126.2,B,0
697,42,439.25,A,1
698,22,175.11,A,0
699,5,183.49,A,0
700,47,144.17,D,0
701,54,98.88,D,0
702,45,130.94,B,0
703,37,295.8,A,1
704,25,26.17,B,0
705,21,453.71,D,1
706,35,470.33,D,1
707,11,93.57,D,0
708,20,117.39,A,0
709,37,491.25,C,1
710,29,84.24,C,0
711,14,329.66,D,1
712,35,363.15,D,1
713,53,42.26,A,0
714,31,440.06,C,1
715,22,391.84,B,1
716,16,414.37,B,1
717,21,270.5,D,0
718,24,261.96,A,0
719,15,460.67,D,1
720,1,18.44,B,0
721,11,290.51,A,0
722,20,295.87,A,1
723,53,269.74,C,1
724,12,275.49,B,0
725,7,457.1,B,1
726,39,361.67,A,1
727,53,279.14,A,1
728,45,357.6,B,1
729,40,410.75,C,1
730,42,121.74,C,0
731,47,44.15,A,0
732,18,106.96,A,0
733,27,17.33,B,0
734,31,114.44,A,0
735,31,177.61,B,0
736,43,190.12,C,0
737,11,282.51,D,0
738,20,79.73,A,0
739,27,234.96,C,0
740,28,202.94,A,0
741,8,465.23,D,1
742,4,346.21,D,1
743,15,307.15,D,1
744,16,306.57,B,1
745,45,353.94,A,1
746,38,242.17,C,0
747,22,315.62,D,1
748,41,222.81,D,0
749,30,333.85,C,1
750,53,421.78,C,1
751,1,445.85,D,1
752,3,388.96,C,1
753,47,266.53,C,0
754,59,214.68,D,0
755,30,488.65,A,1
756,4,486.48,A,1
757,1,461.54,A,1
758,38,131.67,D,0
759,9,200.72,B,0
760,30,334.97,D,1
761,54,319.26,B,1
762,10,480.23,D,1
763,14,59.19,C,0
764,3,492.7,A,1
765,5,229.27,A,0
766,45,249.87,B,0
767,14,474.85,D,1
768,23,201.73,C,0
769,18,394.83,B,1
770,38,353.04,A,1
771,29,279.35,C,0
772,59,87.96,A,0
773,13,426.01,C,1
774,21,18.09,B,0
775,40,127.44,D,0
776,27,365.37,A,1
777,31,383.48,D,1
778,17,252.23,D,0
779,10,487.76,A,1
780,10,337.11,B,1
781,7,445.74,D,1
782,45,234.7,D,0
783,27,311.37,D,1
784,15,116.24,C,0
785,12,37.67,B,0
786,32,476.19,D,1
787,16,154.24,A,0
788,11,88.05,A,0
789,18,159.5,C,0
790,2,95.38,C,0
791,3,283.0,B,0
792,15,131.33,D,0
793,49,44.74,C,0
794,7,302.75,C,0
795,39,300.82,A,1
796,4,113.12,D,0
797,7,272.44,C,0
798,42,321.5,B,1
799,4,394.18,D,1
800,33,427.24,D,1
